"id","kode","lokasi","gedung","lantai","jenis","pengguna","luas","kap","ket"
"1","1A101","1","A","1","Kantor","Ka. Prodi Kep / Profesi ","9","2","Rektorat"
"2","1A102","1","A","1","Kantor","Lemlit / LPM","15","5","Rektorat"
"3","1A103","1","A","1","Kantor","BPM dan LSIK","15","5","Rektorat"
"4","1A104","1","A","1","KM/WC","Umum","6","5","Rektorat"
"5","1A106","1","A","1","Kantor","Koordinator Driver ","6","2","Rektorat"
"6","1A107","1","A","1","Kantor","DOSEN S1 KEP","15","6","Rektorat"
"7","1A108","1","A","1","Kantor","Admin S1 dan Profesi Kep ","15","5","Rektorat"
"8","1A109","1","A","1","KM/WC","Umum","20","3","Rektorat"
"9","1A110","1","A","1","Kantor","Ka. Prodi S1 Kep","6","2","Rektorat"
"10","1A201","1","A","2","Kantor","WR.2","9","1","Rektorat"
"11","1A202","1","A","2","Kantor","WR.1","9","1","Rektorat"
"12","1A203","1","A","2","Kantor","WR.3","9","1","Rektorat"
"13","1A204","1","A","2","Kantor","BAUK","15","7","Rektorat"
"14","1A205","1","A","2","KM/WC","Umum / Putra","20","3","Rektorat"
"15","1A206","1","A","2","Kantor","Unimus","25","30","Rektorat"
"16","1A207","1","A","2","Dapur","CS dan Staf Pelaksana","9","2","Rektorat"
"17","1A208","1","A","2","Kantor","BAAK","10","4","Rektorat"
"18","1A303","1","A","3","Kantor","FKIP","40","5","Rektorat"
"19","1A100","1","A","1","Hall ","Umum","201.75","200","Rektorat"
"20","1A111","1","A","1","Kantor","Transit Para Driver UNIMUS","4","4","Rektorat"
"21","1A302","1","A","3","Kantor","UPT Admisi","40","5","Rektorat"
"22","1A206","1","A","2","Kantor","Unimus","25","30","Rektorat"
"23","1A301","1","A","3","Kelas","Umum","74","60","Rektorat"
"24","3B111","3","B","1","Kelas","Umum","25","13","Kasipah"
"25","3A203","3","A","2","Kelas","Umum","64","40","Kasipah"
"26","3A204","3","A","2","Kelas","Umum","64","40","Kasipah"
"27","3A205","3","A","2","Kelas","Umum","64","40","Kasipah"
"28","3A206","3","A","2","Kelas","Umum","64","40","Kasipah"
"29","3A207","3","A","2","Kelas","Umum","64","40","Kasipah"
"30","3A302","3","A","3","Kelas","Umum","64","40","Kasipah"
"31","3A303","3","A","3","Kelas","Umum","64","40","Kasipah"
"32","3A304","3","A","3","Kelas","Umum","64","40","Kasipah"
"33","3A305","3","A","3","Kelas","Umum","64","40","Kasipah"
"34","3ALKom","3","A","2","Lab Komputer","Umum","64","25","Kasipah"
"35","3ALTE","3","A","1","Lab Teknik Elek","Teknik Elektro ","64","20","Kasipah"
"36","3BLTM","3","B","1","Lab Teknik Mesin","Teknik Mesin ","64","25","Kasipah"
"37","3ALBH","3","A","2","Lab Bahasa Ingg","FBBA","64","20","Kasipah"
"38","4B105","4","B","1","Kelas","Umum","100","80","Kedungmundu 2"
"39","4B106","4","B","1","Kelas","Umum","100","80","Kedungmundu 2"
"40","4A101","4","A","1","Kelas","Umum","70","50","Kedungmundu 2"
"41","4A103","4","A","1","Kelas","Umum","70","50","Kedungmundu 2"
